"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"94","Ser_5_Mm_2493β",0.526225771436666,0.00387989728617764,0.65512821973397,7.48330042012647,1.05803285476149,8.59930015259568,8.64835755014157,0.0204752097936941,""
"95","Thr_1_Mm_2493β",0.364089528273698,0.00907698043068633,0.332036408756562,11.042197339137,2.0875637799954,4.64597717275653,4.68747548526169,0.0131622247770019,""
"96","Thr_5_Mm_2493β",0.306329195698124,0.00576474972201224,0.402776875754407,9.8166024219597,1.72092099195534,4.28278973332836,4.33569462344442,0.019821676601981,""
"97","As_1_Csm_2490β",0.356646204494285,0.00847514956248435,0.668977688513394,5.55407999304903,1.03612899572221,6.50736812728726,6.50426682336107,0.0091667097821565,""
"98","As_5_Csm_2490β",0.549877119380531,0.025998217154647,0.375407116714179,7.9999351546168,1.84638796042772,8.64079203148792,8.59325701709137,0.0182711239577576,""
"99","Glu_1_Csm_2490β",0.147579681630348,0.0242301053785908,0.195169506040244,8.33852868073974,3.55151373092587,2.18736812978631,2.18126176430562,0.00941814862955626,""
"100","Glu_5_Csm_2490β",0.523129155610891,0.0259147024366816,0.0991875210521627,29.784099125751,6.98824986457137,2.05820783890133,2.06048076569451,0.0103917177316595,""
"101","Ser_1_Csm_2490β",0.343641759725353,0.0313164884750745,0.239516732288936,9.60225371999249,2.8939405357442,4.80089858096744,4.77982078389961,0.0129614062344649,""
"102","Ser_5_Csm_2490β",0.282122576489504,0.0301763778484001,0.215694963132145,9.83869121738181,3.21355292907462,3.86337248884045,3.8394728566944,0.0122339751275904,""
"103","Thr_1_Csm_2490β",0.354622676162648,0.0169425456772656,0.413062490394799,7.24411246102282,1.67806856511577,5.84274622797364,5.85520921071321,0.018546619303549,""
"104","Thr_5_Csm_2490β",0.419002782877369,0.0173489883823075,0.378706505865409,8.29681102114949,1.83030175036467,6.46726153627289,6.46445976179215,0.0139732556374222,""
"105","As_1_Csm_2491β",0.292089825797228,0.0104930703022626,0.632013860098487,5.2052039395964,1.0967278161462,5.42496949333624,5.41659393361647,0.00407451276057213,""
"106","As_5_Csm_2491β",0.509283914702812,0.0278784611358137,0.363338209923393,7.8407813647297,1.90771892861499,8.07140112071029,8.01663303366672,0.0228478787386814,""
"107","Glu_1_Csm_2491β",0.146266847805601,0.0261369209383827,0.258001915138287,5.91168081083307,2.68659703626007,2.51566773540316,2.5071152522115,0.0086904663161909,""
"108","Glu_5_Csm_2491β",0.0450520574985491,0.00233972891939627,2.31869474674389,1.2526239307266,0.298938521999639,1.01639259049428,1.01756468596954,0.00990293038649827,""
"109","Ser_1_Csm_2491β",0.452285615978796,0.0164536136397461,0.46035448088447,7.11780130787257,1.50568140279251,7.52545228681354,7.51432148639425,0.012691786958564,""
"110","Ser_5_Csm_2491β",0.434199963735556,0.0292247372859634,0.338835044958199,7.75837805779983,2.04567736092781,6.89713094224549,6.86783927029386,0.0124682876452116,""
"111","Thr_1_Csm_2491β",0.360330068955107,0.0213627951210835,0.366961063422083,7.53282290039225,1.8888848154516,5.81699587935881,5.80662030515765,0.0128197580986707,""
"112","Thr_5_Csm_2491β",0.36009298530752,0.0178561244086352,0.374536423935058,7.8848313030254,1.85068029773289,5.69745813991819,5.71160124223294,0.0211343257591837,""
"113","As_1_Csm_2492β",0.368119766921813,0.0123806745070047,0.55379391934625,6.06373726579216,1.25163378712825,6.51962608451864,6.50367457163879,0.00591863733521053,""
"114","As_5_Csm_2492β",0.533714320568055,0.0157864749711773,0.476512346867218,7.32548149556019,1.45462585621752,8.77871484230524,8.75049311887816,0.0137697501125892,""
"115","Glu_1_Csm_2492β",0.205233059955519,0.0305979945846321,0.218132111015589,7.98490409030111,3.17764852379029,3.13045769577156,3.12649263013085,0.00952249428316428,""
"116","Glu_5_Csm_2492β",1046176.77884694,0.0347835485304247,0.0583451222670932,295.127732344873,11.8801221700564,1.79907408252141,1.80989362860039,0.0174262235748266,""
"117","Ser_1_Csm_2492β",0.360134126279788,0.0435747240648238,0.175677749199324,11.2879044658098,3.94556045782155,4.46914614771794,4.44501570334405,0.0157797483671296,""
"118","Ser_5_Csm_2492β",0.324747731193408,0.0322746530744535,0.241330385578559,9.13308296800953,2.87219190777909,4.67206389714324,4.64667195441671,0.0119464653149449,""
"119","Thr_1_Csm_2492β",0.473531472937445,0.0165811367999129,0.369789238870612,8.96810575010391,1.87443848468093,7.00001879847856,7.00268711372051,0.0167658666675261,""
"120","Thr_5_Csm_2492β",0.422031841632675,0.0146080367975834,0.453571367723724,7.33794575052086,1.52819871333269,6.93046191265779,6.91932002116672,0.00771271046216554,""
"121","As_1_Csm_2493β",0.420368327411139,0.0134734481134174,0.487831436907417,6.9856792123419,1.4208743597053,7.05551339367854,7.0487689540251,0.0133026325975006,""
"122","As_5_Csm_2493β",0.486729138112494,0.0183438417648418,0.453686329725031,7.14149205781789,1.52781147490171,8.08505334678863,8.06407387307164,0.00950824975184348,""
"123","Glu_1_Csm_2493β",0.234276094466922,0.0395218095225724,0.18436653749675,8.65062635063391,3.75961489525812,3.39783523080595,3.38989704126876,0.0112670145935092,""
"124","Glu_5_Csm_2493β",81402.6822696643,0.0338362926566427,0.0552485598605469,265.950541152474,12.5459773487222,1.67309141311741,1.67651278999464,0.0121312348081438,""
"125","Ser_1_Csm_2493β",0.468398468621117,0.0183558897140671,0.443216130968246,7.21858137867364,1.56390332419919,7.74200658770546,7.73649617361111,0.0155703368447501,""
"126","Ser_5_Csm_2493β",0.464972755609515,0.0196348773632845,0.417289734383478,7.48047596580007,1.66106933252032,7.55802002289315,7.54374076366686,0.0132578380981285,""
"127","Thr_1_Csm_2493β",0.386613860785716,0.00908033078089291,0.54473509839562,6.84286504645043,1.27244817270162,6.55299186633843,6.55917237950006,0.00842745191518268,""
"128","Thr_5_Csm_2493β",0.408753636542662,0.013293983711839,0.463052820310272,7.32689023196072,1.49690737245807,6.71940573275313,6.70745517933336,0.00640176258928183,""
"129","As_1_Mm_2490ε",0.344093300726671,0.0413024246006983,0.358896933017775,5.5506776482924,1.93132656423569,6.17062343761641,6.14699190972222,0.0131696707568238,""
"130","As_5_Mm_2490ε",0.324003511449171,0.0251441087158394,0.495569468462124,4.99495988381797,1.39868822571123,6.05181502829546,6.03877982706993,0.006343315884993,""
"131","Glu_1_Mm_2490ε",0.61325480067887,0.0153561903663472,0.443860991295853,8.25011115975744,1.5616312182251,9.52446771768709,9.57391858251072,0.0171169843108351,""
