"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note","fullWellCode","wellNumber","instance","Media","Concentration","Nutrient","Strain","Mutant","DemoPlotColumn"
"67","A3b",0.59739978939695,0.0195304654287069,0.000119367381839938,28377.7036215336,5806.83910357858,34148.841892229,34386.5238175488,0.0200324305456604,"","A3b_b_Glu_1_Mm_2490_Deletion_yes","A3b","b","Glu","1","Mm","2490","Deletion","yes"
"68","A4b",2304833.1438034,0.0570428654943381,1.77679490317098e-05,985733.978330403,39011.0968532671,11537.0245626644,11589.8708310195,0.0156571602579945,"","A4b_b_Glu_5_Mm_2490_Deletion_no","A4b","b","Glu","5","Mm","2490","Deletion","no"
"69","A5b",0.155403197910528,0.0502604091077065,5.33228459619353e-05,13842.1277873603,12999.0657485677,10107.4752726845,10096.8688484707,0.00979543912304724,"","A5b_b_Ser_1_Mm_2490_Deletion_yes","A5b","b","Ser","1","Mm","2490","Deletion","yes"
"70","A6b",0.130547692093915,0.0385823555911333,9.19464244436836e-05,9446.98688650406,7538.59853445951,9472.85354975753,9476.60850449025,0.00501149377061864,"","A6b_b_Ser_5_Mm_2490_Deletion_no","A6b","b","Ser","5","Mm","2490","Deletion","no"
"71","A7b",3752186.47547062,0.0470256400919704,2.10291441710712e-05,865223.587786586,32961.2643729684,11353.1905955528,11438.9545485683,0.0203578726032886,"","A7b_b_Thr_1_Mm_2490_Deletion_yes","A7b","b","Thr","1","Mm","2490","Deletion","yes"
"72","A8b",1770410.66656994,0.0485926792157112,2.22802796838626e-05,781453.586090173,31110.3446812647,12574.8417023875,12666.3036124513,0.0216842299231964,"","A8b_b_Thr_5_Mm_2490_Deletion_no","A8b","b","Thr","5","Mm","2490","Deletion","no"
"73","B1b",0.222184237466196,0.025080483002464,0.000142728672966704,14444.4717770878,4856.3975699658,15669.8546177248,15644.1384705098,0.00987492544747963,"","B1b_b_As_1_Mm_2491_Control_yes","B1b","b","As","1","Mm","2491","Control","yes"
"74","B2b",0.235265717446657,0.0134362458624775,0.000199953636996837,14023.0155971422,3466.53949870844,16819.7780424112,16822.0691864318,0.00384661465538824,"","B2b_b_As_5_Mm_2491_Control_no","B2b","b","As","5","Mm","2491","Control","no"
"75","B3b",0.578655200926552,0.017769101914811,0.0001129241962416,30569.6818418977,6138.16350817292,31815.1631948135,31934.0141565293,0.0139581781504516,"","B3b_b_Glu_1_Mm_2491_Control_yes","B3b","b","Glu","1","Mm","2491","Control","yes"
"76","B4b",0.0857286769376246,0.0141831428253235,0.000356413470126921,4540.45676982741,1944.78390593125,6923.61234935427,6930.84767949025,0.00545911148843186,"","B4b_b_Glu_5_Mm_2491_Control_no","B4b","b","Glu","5","Mm","2491","Control","no"
